# 词汇覆盖词表(v366 首批)。格式:词 \t 期望带1|期望带2 \t 备注
# 期望带 = 前三名里应当出现的;「-」= 只要非零命中。来源:课本目录/少儿百科/纪录片/孩子问法。
# ── 中国史课本词 ──
夏朝	二里头·夏
商朝	商
甲骨文	商
周朝	西周
春秋战国	春秋|战国
百家争鸣	战国
孔子	春秋
秦始皇	秦
焚书坑儒	秦
汉武帝	西汉
张骞	西汉
丝绸之路	西汉|唐
造纸术	东汉
赤壁之战	三国
三国演义	三国
大运河	隋
科举	隋|唐
武则天	唐
安史之乱	唐
玄奘	唐
李白	唐
活字印刷	北宋
岳飞	南宋
成吉思汗	蒙古帝国
忽必烈	元
马可·波罗	元
郑和	明
郑和下西洋	明
紫禁城	明
李时珍	明
康熙	清
乾隆	清
鸦片战争	清
甲午战争	清|朝鲜王朝|近现代日本
戊戌变法	清
辛亥革命	清|民国
孙中山	民国|清
五四运动	民国
抗日战争	民国
改革开放	共和国
# ── 世界史课本词 ──
金字塔	古王国埃及
尼罗河	-
汉谟拉比	古巴比伦
空中花园	新巴比伦
楔形文字	苏美尔·阿卡德
两河文明	苏美尔·阿卡德
两河流域	苏美尔·阿卡德
美索不达米亚	苏美尔·阿卡德
种姓制度	吠陀时代
释迦牟尼	孔雀王朝
佛陀	孔雀王朝
亚历山大大帝	希腊化王朝
凯撒	罗马共和国
斯巴达	古希腊
雅典	古希腊
罗马帝国	罗马帝国
基督教	罗马治下近东|罗马帝国
穆罕默德	阿拉伯哈里发
伊斯兰教	阿拉伯哈里发
十字军	中世纪西欧|拜占庭|阿尤布王朝
文艺复兴	文艺复兴意大利
达芬奇	文艺复兴意大利
哥伦布	西班牙·葡萄牙帝国
麦哲伦	西班牙·葡萄牙帝国
新航路	西班牙·葡萄牙帝国
宗教改革	勃兰登堡·普鲁士
马丁路德	勃兰登堡·普鲁士
工业革命	大英帝国·英国
蒸汽机	大英帝国·英国
法国大革命	法兰西
拿破仑	法兰西
美国独立	美国
林肯	美国
南北战争	美国
明治维新	近现代日本
十月革命	俄罗斯·苏联
一战	现代欧洲诸国|德意志
二战	德意志|俄罗斯·苏联
冷战	美国|俄罗斯·苏联
# ── 纪录片 / 少儿百科 / 孩子问法 ──
河西走廊	西汉|归义军|唐
敦煌	归义军|唐
莫高窟	归义军|唐
故宫	明|清
兵马俑	秦
木乃伊	新王国埃及
法老	新王国埃及|古王国埃及
狮身人面像	新王国埃及|古王国埃及
图坦卡蒙	新王国埃及
埃及艳后	希腊化王朝
罗塞塔石碑	新王国埃及
特洛伊	迈锡尼
木马计	迈锡尼
奥运会	古希腊
希腊神话	古希腊
维京海盗	维京·北欧
海盗	维京·北欧|海湾诸邦
骑士	中世纪西欧
城堡	-
武士	幕府时代
忍者	幕府时代
浮世绘	江户日本
泰姬陵	莫卧儿帝国
吴哥窟	高棉·吴哥|真腊
马丘比丘	印加
玛雅预言	玛雅
复活节岛	-
巨石阵	!	新石器时代英国不在站内范围
庞贝	罗马帝国
斗兽场	罗马帝国
万里长城	明|秦
七大奇迹	希腊化王朝
指南针	北宋
火药	唐|北宋
毕昇	北宋
蔡伦	东汉
李冰	战国|秦
都江堰	战国|秦
瓷器	-
茶叶	-
咖啡	-
国际象棋	-
阿拉伯数字	笈多王朝|阿拉伯哈里发
一千零一夜	阿拉伯哈里发
天方夜谭	阿拉伯哈里发
圣诞节	!	节日词,站内无对应内容
伊索寓言	古希腊
格林童话	勃兰登堡·普鲁士
安徒生	北欧诸王国|现代欧洲诸国
# ── 英文词(拉丁词要求前缀≥3或整词) ──
rome	罗马帝国|罗马共和国
maya	玛雅
viking	维京·北欧
samurai	幕府时代
pyramid	古王国埃及
mesopotamia	苏美尔·阿卡德
silk road	西汉|唐
renaissance	文艺复兴意大利
napoleon	法兰西
